test_fna/5_AE016877.fasta	test_fna/5_AE016877.fasta	1349-0|1349|1349	1.000000	0.000000	1.000000	0.000000	-nan[-nan,-nan]	nan[nan,nan]	-nan[-nan,-nan]	nan[nan,nan]	-NAN	-NAN	-NAN	-NAN
test_fna/5_AE016877.fasta	test_fna/26_AE016877.fasta	56-1|1327|1349	0.021374	0.198349	0.042200	0.197833	0.020775[0.015314,0.026237]	0.200087[0.185833,0.218815]	0.041019[0.030347,0.051690]	0.199608[0.185156,0.218440]	4.471539E-14	2.461917E-14	4.297149E-11	2.365903E-11
test_fna/5_AE016877.fasta	test_fna/4_AE016877.fasta	485-0|1366|1349	0.217489	0.064328	0.359526	0.063936	0.217163[0.200050,0.234276]	0.064405[0.060537,0.068650]	0.358987[0.333388,0.384586]	0.064029[0.059724,0.068653]	7.485104E-137	1.289247E-166	7.193185E-134	1.238967E-163
test_fna/5_AE016877.fasta	test_fna/22_AE016877.fasta	56-1|1244|1349	0.022073	0.196379	0.045016	0.193796	0.021496[0.015852,0.027139]	0.198002[0.183776,0.216690]	0.043838[0.032461,0.055215]	0.195454[0.181033,0.214233]	4.152332E-14	2.141193E-14	3.990391E-11	2.057686E-11
test_fna/5_AE016877.fasta	test_fna/9_AE016877.fasta	280-1|1331|1349	0.116667	0.097852	0.210368	0.097431	0.116220[0.103398,0.129042]	0.098067[0.092240,0.104651]	0.209563[0.187697,0.231428]	0.097671[0.091468,0.104558]	6.555072E-71	5.004660E-79	6.299425E-68	4.809478E-76
test_fna/5_AE016877.fasta	test_fna/7_AE016877.fasta	336-0|1278|1349	0.146661	0.085209	0.262911	0.083496	0.146263[0.131793,0.160734]	0.085357[0.080244,0.091074]	0.262198[0.238084,0.286313]	0.083666[0.078167,0.089696]	1.183382E-87	4.456003E-101	1.137231E-84	4.282219E-98
test_fna/5_AE016877.fasta	test_fna/25_AE016877.fasta	54-1|1451|1349	0.019665	0.203453	0.040030	0.201133	0.019036[0.013925,0.024147]	0.205445[0.190893,0.224672]	0.038750[0.028451,0.049049]	0.203164[0.188433,0.222474]	1.440311E-13	8.258283E-14	1.384139E-10	7.936210E-11
test_fna/5_AE016877.fasta	test_fna/17_AE016877.fasta	125-1|1356|1349	0.048450	0.148837	0.092661	0.148675	0.047892[0.039652,0.056132]	0.149527[0.140094,0.160834]	0.091595[0.076202,0.106989]	0.149398[0.139690,0.160898]	2.291848E-30	9.870937E-32	2.202466E-27	9.485971E-29
test_fna/5_AE016877.fasta	test_fna/14_AE016877.fasta	165-1|1294|1349	0.066586	0.130036	0.127512	0.128722	0.066071[0.056291,0.075852]	0.130491[0.122434,0.139928]	0.126526[0.108412,0.144639]	0.129207[0.120844,0.138863]	2.564966E-40	5.754256E-43	2.464932E-37	5.529840E-40
test_fna/5_AE016877.fasta	test_fna/1_AE016877.fasta	673-0|1316|1349	0.337851	0.042692	0.511398	0.041913	0.337643[0.316876,0.358411]	0.042720[0.039953,0.045710]	0.511083[0.484075,0.538091]	0.041951[0.038733,0.045345]	3.949791E-223	2.040445E-301	3.795749E-220	1.960867E-298
test_fna/5_AE016877.fasta	test_fna/18_AE016877.fasta	130-1|1321|1349	0.051181	0.145572	0.098410	0.144913	0.050636[0.042109,0.059162]	0.146209[0.136987,0.157225]	0.097362[0.081375,0.113348]	0.145583[0.136081,0.156793]	1.299944E-31	3.804284E-33	1.249246E-28	3.655917E-30
test_fna/5_AE016877.fasta	test_fna/AE016877.fasta	754-0|1329|1349	0.391892	0.035893	0.567344	0.035424	0.391722[0.369910,0.413534]	0.035912[0.033498,0.038506]	0.567098[0.540459,0.593737]	0.035451[0.032582,0.038458]	1.005391E-271	0.000000E+00	9.661807E-269	0.000000E+00
test_fna/5_AE016877.fasta	test_fna/21_AE016877.fasta	88-1|1400|1349	0.033070	0.171782	0.065234	0.170611	0.032477[0.025742,0.039212]	0.172877[0.161505,0.186994]	0.064063[0.050996,0.077130]	0.171743[0.160141,0.186000]	1.677404E-21	3.655934E-22	1.611986E-18	3.513353E-19
test_fna/5_AE016877.fasta	test_fna/30_AE016877.fasta	41-1|1363|1349	0.015350	0.218670	0.030393	0.218347	0.014732[0.010163,0.019301]	0.221200[0.204597,0.244122]	0.029170[0.020189,0.038150]	0.220914[0.204139,0.243912]	1.310581E-10	9.670093E-11	1.259468E-07	9.292960E-08
test_fna/5_AE016877.fasta	test_fna/2_AE016877.fasta	601-0|1326|1349	0.289778	0.049998	0.453243	0.049458	0.289529[0.270009,0.309048]	0.050039[0.046901,0.053449]	0.452853[0.426060,0.479645]	0.049512[0.045919,0.053323]	4.040287E-186	5.831841E-241	3.882716E-183	5.604399E-238
test_fna/5_AE016877.fasta	test_fna/3_AE016877.fasta	535-0|1333|1349	0.249185	0.057432	0.401350	0.057058	0.248896[0.230607,0.267186]	0.057490[0.053966,0.061338]	0.400885[0.374576,0.427195]	0.057130[0.053157,0.061372]	4.815542E-157	2.759034E-196	4.627736E-154	2.651432E-193
